cedar-10x-multiome-v2.0.0,cedar-10x-multiome-v1.0.0
parent_sample_id,parent_sample_id
lab_id,lab_id
preparation_protocol_doi,preparation_protocol_doi
dataset_type,dataset_type
contributors_path,contributors_path
data_path,data_path
capture_batch_id,capture_batch_id
preparation_instrument_vendor,preparation_instrument_vendor
preparation_instrument_model,preparation_instrument_model
preparation_instrument_kit,preparation_instrument_kit
number_of_pre_amplification_pcr_cycles,number_of_pre_amplification_pcr_cycles
metadata_schema_id,metadata_schema_id