cedar-visium-no-probes-v3.0.0,cedar-visium-no-probes-v1.0.0
parent_sample_id,parent_sample_id
lab_id,lab_id
preparation_protocol_doi,preparation_protocol_doi
dataset_type,dataset_type
contributors_path,contributors_path
data_path,data_path
mapped_area_value,mapped_area_value
mapped_area_unit,mapped_area_unit
spot_size_value,spot_size_value
spot_size_unit,spot_size_unit
number_of_spots,number_of_spots
spot_spacing_value,spot_spacing_value
spot_spacing_unit,spot_spacing_unit
capture_area_id,capture_area_id
permeabilization_time_value,permeabilization_time_value
permeabilization_time_unit,permeabilization_time_unit
preparation_instrument_vendor,preparation_instrument_vendor
preparation_instrument_model,preparation_instrument_model
non_global_files,non_global_files
metadata_schema_id,metadata_schema_id