CEDAR Field,lcms-v0,lcms-v1,lcms-v2,lcms-v3
parent_sample_id,tissue_id,tissue_id,tissue_id,tissue_id
lab_id,,,,
preparation_protocol_doi,section_prep_protocols_io_doi,section_prep_protocols_io_doi,section_prep_protocols_io_doi,section_prep_protocols_io_doi
dataset_type,assay_type,assay_type,assay_type,assay_type
analyte_class,analyte_class,analyte_class,analyte_class,analyte_class
is_targeted,is_targeted,is_targeted,is_targeted,is_targeted
acquisition_instrument_vendor,acquisition_instrument_vendor,acquisition_instrument_vendor,acquisition_instrument_vendor,acquisition_instrument_vendor
acquisition_instrument_model,acquisition_instrument_model,acquisition_instrument_model,acquisition_instrument_model,acquisition_instrument_model
source_storage_duration_value,,,,
source_storage_duration_unit,,,,
time_since_acquisition_instrument_calibration_value,,,,
time_since_acquisition_instrument_calibration_unit,,,,
contributors_path,contributors_path,contributors_path,contributors_path,contributors_path
data_path,data_path,data_path,data_path,data_path
ms_ionization_technique,ms_source,ms_source,ms_source,ms_source
ms_scan_mode,ms_scan_mode,ms_scan_mode,ms_scan_mode,ms_scan_mode
mass_analysis_polarity,polarity,polarity,polarity,polarity
mass_to_charge_range_low_value,mz_range_low_value,mz_range_low_value,mz_range_low_value,mz_range_low_value
mass_to_charge_range_high_value,mz_range_high_value,mz_range_high_value,mz_range_high_value,mz_range_high_value
mass_resolving_power,,,mass_resolving_power,mass_resolving_power
mass_to_charge_resolving_power,,,mz_resolving_power,mz_resolving_power
ion_mobility,,,ion_mobility,ion_mobility
data_collection_mode,data_collection_mode,data_collection_mode,data_collection_mode,data_collection_mode
label_name,,,,label_name
lc_instrument_vendor,lc_instrument_vendor,lc_instrument_vendor,lc_instrument_vendor,lc_instrument_vendor
lc_instrument_model,lc_instrument_model,lc_instrument_model,lc_instrument_model,lc_instrument_model
lc_column_vendor,lc_column_vendor,lc_column_vendor,lc_column_vendor,lc_column_vendor
lc_column_model,lc_column_model,lc_column_model,lc_column_model,lc_column_model
lc_resin,lc_resin,lc_resin,lc_resin,lc_resin
lc_column_length_value,lc_length_value,lc_length_value,lc_length_value,lc_length_value
lc_column_length_unit,lc_length_unit,lc_length_unit,lc_length_unit,lc_length_unit
lc_temperature_value,lc_temp_value,lc_temp_value,lc_temp_value,lc_temp_value
lc_temperature_unit,lc_temp_unit,lc_temp_unit,lc_temp_unit,lc_temp_unit
lc_inner_diameter_value,lc_id_value,lc_id_value,lc_id_value,lc_id_value
lc_inner_diameter_unit,lc_id_unit,lc_id_unit,lc_id_unit,lc_id_unit
lc_flow_rate_value,lc_flow_rate_value,lc_flow_rate_value,lc_flow_rate_value,lc_flow_rate_value
lc_flow_rate_unit,lc_flow_rate_unit,lc_flow_rate_unit,lc_flow_rate_unit,lc_flow_rate_unit
lc_gradient_value,lc_gradient,lc_gradient,lc_gradient,lc_gradient
lc_gradient_unit,,,,
lc_mobile_phase_a,lc_mobile_phase_a,lc_mobile_phase_a,lc_mobile_phase_a,lc_mobile_phase_a
lc_mobile_phase_b,lc_mobile_phase_b,lc_mobile_phase_b,lc_mobile_phase_b,lc_mobile_phase_b
spatial_sampling_technique,,,spatial_type,spatial_type
spatial_sampling_target,,,spatial_target,spatial_target
spatial_sampling_type,,,spatial_sampling_type,spatial_sampling_type
analysis_protocol_doi,processing_protocols_io_doi,processing_protocols_io_doi,processing_protocols_io_doi,processing_protocols_io_doi
metadata_schema_id,,,,
,assay_category,assay_category,assay_category,assay_category
,,description,description,description
,donor_id,donor_id,donor_id,donor_id
,execution_datetime,execution_datetime,execution_datetime,execution_datetime
,operator,operator,operator,operator
,operator_email,operator_email,operator_email,operator_email
,protocols_io_doi,protocols_io_doi,protocols_io_doi,protocols_io_doi
,overall_protocols_io_doi,overall_protocols_io_doi,overall_protocols_io_doi,overall_protocols_io_doi
,pi,pi,pi,pi
,pi_email,pi_email,pi_email,pi_email
,processing_search,processing_search,processing_search,processing_search
,labeling,labeling,labeling,labeling
,,,,dms
,,,resolution_x_unit,resolution_x_unit
,,,resolution_x_value,resolution_x_value
,,,resolution_y_unit,resolution_y_unit
,,,resolution_y_value,resolution_y_value
,,version,version,version