cedar-lightsheet-v3.1.0,lightsheet-v0,lightsheet-v1,lightsheet-v2
lab_id,,,
preparation_protocol_doi,protocols_io_doi,protocols_io_doi,protocols_io_doi
dataset_type,assay_type,assay_type,assay_type
analyte_class,analyte_class,analyte_class,analyte_class
is_targeted,is_targeted,is_targeted,is_targeted
acquisition_instrument_vendor,acquisition_instrument_vendor,acquisition_instrument_vendor,acquisition_instrument_vendor
acquisition_instrument_model,acquisition_instrument_model,acquisition_instrument_model,acquisition_instrument_model
source_storage_duration_value,,,
source_storage_duration_unit,,,
time_since_acquisition_instrument_calibration_value,,,
time_since_acquisition_instrument_calibration_unit,,,
contributors_path,contributors_path,contributors_path,contributors_path
data_path,data_path,data_path,data_path
antibodies_path,antibodies_path,antibodies_path,antibodies_path
is_image_preprocessing_required,,,
slide_id,,,
tile_configuration,,,
scan_direction,,,
tiled_image_columns,,,
tiled_image_count,,,
intended_tile_overlap_percentage,,,
metadata_schema_id,,,
,assay_category,assay_category,assay_category
,,description,description
,donor_id,donor_id,donor_id
,execution_datetime,execution_datetime,execution_datetime
,number_of_antibodies,number_of_antibodies,number_of_antibodies
,number_of_channels,number_of_channels,number_of_channels
,operator,operator,operator
,operator_email,operator_email,operator_email
,pi,pi,pi
,pi_email,pi_email,pi_email
,,,range_z_unit
,,,range_z_value
,resolution_x_unit,resolution_x_unit,resolution_x_unit
,resolution_x_value,resolution_x_value,resolution_x_value
,resolution_y_unit,resolution_y_unit,resolution_y_unit
,resolution_y_value,resolution_y_value,resolution_y_value
,resolution_z_unit,resolution_z_unit,
,resolution_z_value,resolution_z_value,
,,,increment_z_unit
,,,increment_z_value
,,,step_z_value
,,version,version